Year,Place,Name,Time,Rookie,Hometown,Year,Days,Hours,Min,Sec,Time_(days),Finish,Prize_Money,Points_(binary),Points_(top_20),Points_(1/x)
2021,1,Dallas Seavey,7d 14h 8m 57s,,"Talkeetna, Alaska",2021,7,14,8,57,7.589548611,Yes,40809,1,1,1
2021,2,Aaron Burmeister,7d 17h 23m 5s,,"Nome/Nenana, Alaska",2021,7,17,23,5,7.724363426,Yes,34363,0,0.95,0.5
2021,3,Brent Sass,7d 18h 41m 18s,,"Eureka, Alaska",2021,7,18,41,18,7.778680556,Yes,31686,0,0.9,0.333333333
2021,4,Wade Marrs,7d 21h 53m 12s,,"Willow, Alaska",2021,7,21,53,12,7.911944444,Yes,28562,0,0.85,0.25
2021,5,Mille Porsild,7d 22h 12m 9s,,DENMARK,2021,7,22,12,9,7.925104167,Yes,26232,0,0.8,0.2
2021,6,Nicolas Petit,7d 22h 25m 44s,,"Big Lake, Alaska",2021,7,22,25,44,7.934537037,Yes,22395,0,0.75,0.166666667
2021,7,Ryan Redington,7d 23h 46m 55s,,"Knik, Alaska",2021,7,23,46,55,7.990914352,Yes,21155,0,0.7,0.142857143
2021,8,Joar Leifseth Ulsom,8d 0h 17m 20s,,"Mo i Rana, NORWAY",2021,8,0,17,20,8.012037037,Yes,19916,0,0.65,0.125
2021,9,Richie Diehl,8d 0h 26m 52s,,"Aniak, Alaska",2021,8,0,26,52,8.018657407,Yes,18726,0,0.6,0.111111111
2021,10,Ramey Smyth,8d 0h 41m 5s,,"Willow, Alaska",2021,8,0,41,5,8.028530093,Yes,17553,0,0.55,0.1
2021,11,Michelle Phillips,8d 1h 30m 56s,,"Tagish, YT, CANADA",2021,8,1,30,56,8.063148148,Yes,16443,0,0.5,0.090909091
2021,12,Jeff Deeter,8d 4h 35m 34s,,"Fairbanks, Alaska",2021,8,4,35,34,8.191365741,Yes,15421,0,0.45,0.083333333
2021,13,Jessie Royer,8d 5h 0m 56s,,"Fairbanks, Alaska",2021,8,5,0,56,8.208981481,Yes,14380,0,0.4,0.076923077
2021,14,Aaron Peck,8d 10h 5m 46s,,"Grande Prairie, AB, CANADA",2021,8,10,5,46,8.420671296,Yes,13438,0,0.35,0.071428571
2021,15,Jessie Holmes,8d 11h 29m 29s,,"Brushkana, Alaska",2021,8,11,29,29,8.47880787,Yes,12496,0,0.3,0.066666667
2021,16,Dan Kaduce,8d 14h 33m 34s,,"Chatanika, Alaska",2021,8,14,33,34,8.606643519,Yes,11564,0,0.25,0.0625
2021,17,Lev Shvarts,8d 14h 47m 23s,,"Willow, Alaska",2021,8,14,47,23,8.616238426,Yes,10702,0,0.2,0.058823529
2021,18,Ryne Olson,8d 16h 13m 42s,,"Two Rivers, Alaska",2021,8,16,13,42,8.676180556,Yes,9918,0,0.15,0.055555556
2021,19,Paige Drobny,8d 16h 19m 20s,,"Cantwell, Alaska",2021,8,16,19,20,8.680092593,Yes,9125,0,0.1,0.052631579
2021,20,Cody Strathe,8d 19h 45m 0s,,"Fairbanks, Alaska",2021,8,19,45,0,8.822916667,Yes,8332,0,0.05,0.05
2021,21,Matthew Failor,8d 21h 3m 12s,,"Willow, Alaska",2021,8,21,3,12,8.877222222,Yes,1049,0,0,0.047619048
2021,22,Kristy Berington,9d 4h 3m 26s,,"Knik, Alaska",2021,9,4,3,26,9.169050926,Yes,1049,0,0,0.045454545
2021,23,Chad Stoddard,9d 4h 6m 10s,Yes,"Anchorage, Alaska, United States",2021,9,4,6,10,9.170949074,Yes,1049,0,0,0.043478261
2021,24,Anna Berington,9d 4h 13m 13s,,"Knik, Alaska",2021,9,4,13,13,9.175844907,Yes,1049,0,0,0.041666667
2021,25,Travis Beals,9d 8h 0m 36s,,"Seward, Alaska",2021,9,8,0,36,9.33375,Yes,1049,0,0,0.04
2021,26,Matt Hall,9d 12h 2m 48s,,"Two Rivers, Alaska",2021,9,12,2,48,9.501944444,Yes,1049,0,0,0.038461538
2021,27,Martin Buser,9d 12h 10m 28s,,"Big Lake, Alaska",2021,9,12,10,28,9.507268519,Yes,1049,0,0,0.037037037
2021,28,Joshua McNeal,9d 16h 7m 0s,Yes,"Fairbanks, Alaska, US",2021,9,16,7,0,9.671527778,Yes,1049,0,0,0.035714286
2021,29,Joanna Jagow,9d 17h 54m 48s,Yes,"Fairbanks, Alaska",2021,9,17,54,48,9.746388889,Yes,1049,0,0,0.034482759
2021,30,Sean Underwood,9d 20h 48m 54s,Yes,"Talkeetna, Alaska",2021,9,20,48,54,9.867291667,Yes,1049,0,0,0.033333333
2021,31,Susannah Tuminelli,9d 22h 21m 38s,Yes,"Willow, Alaska",2021,9,22,21,38,9.931689815,Yes,1049,0,0,0.032258065
2021,32,Hal Hanson,10d 2h 53m 23s,Yes,"Kenai, Alaska",2021,10,2,53,23,10.12040509,Yes,1049,0,0,0.03125
2021,33,Larry Daugherty,10d 4h 35m 27s,,"Eagle River, Alaska",2021,10,4,35,27,10.19128472,Yes,1049,0,0,0.03030303
2021,34,Will Troshynski,10d 4h 57m 39s,Yes,"Fairbanks, Alaska",2021,10,4,57,39,10.20670139,Yes,1049,0,0,0.029411765
2021,35,Dakota Schlosser,10d 9h 22m 4s,Yes,"Willow, Alaska",2021,10,9,22,4,10.39032407,Yes,1049,0,0,0.028571429
2021,36,Victoria Hardwick,10d 9h 22m 6s,,"Bethel, Alaska",2021,10,9,22,6,10.39034722,Yes,1049,0,0,0.027777778
2021,99,Rick Casillo,4d 19h 55m 0s,,"Talkeetna, Alaska",2021,4,19,55,0,4.829861111,No,0,0,0,0.01010101
2021,99,Riley Dyche,4d 15h 25m 0s,,"Fairbanks, Alaska",2021,4,15,25,0,4.642361111,No,0,0,0,0.01010101
2021,99,Cindy Gallea,0d 8h 8m 0s,,"Wykoff, MN",2021,0,8,8,0,0.338888889,No,0,0,0,0.01010101
2021,99,Gunnar Johnson,3d 0h 24m 0s,,"Duluth, MN",2021,3,0,24,0,3.016666667,No,0,0,0,0.01010101
2021,99,Peter Kaiser,5d 5h 28m 0s,,"Bethel, Alaska",2021,5,5,28,0,5.227777778,No,0,0,0,0.01010101
